2025-10-09 00:57:37 - BinanceFuturesBot - INFO - ASTERUSDT excluido por alto riesgo: 0.98
2025-10-09 00:57:38 - BinanceFuturesBot - INFO - XRPUSDT excluido por alto riesgo: 0.74
2025-10-09 00:57:39 - BinanceFuturesBot - INFO - 4USDT excluido por alto riesgo: 0.97
2025-10-09 00:57:55 - BinanceFuturesBot - INFO - ETHUSDT excluido por alto riesgo: 0.75
2025-10-09 00:57:56 - BinanceFuturesBot - INFO - BTCUSDT excluido por alto riesgo: 0.70
2025-10-09 00:57:57 - BinanceFuturesBot - INFO - SOLUSDT excluido por alto riesgo: 0.85
2025-10-09 00:57:57 - BinanceFuturesBot - INFO - BNBUSDT excluido por alto riesgo: 0.88
2025-10-09 00:57:59 - BinanceFuturesBot - INFO - COAIUSDT excluido por alto riesgo: 0.95
2025-10-09 00:58:00 - BinanceFuturesBot - INFO - DOGEUSDT excluido por alto riesgo: 0.86
2025-10-09 00:58:00 - BinanceFuturesBot - INFO - ASTERUSDT excluido por alto riesgo: 0.98
2025-10-09 00:58:01 - BinanceFuturesBot - INFO - XRPUSDT excluido por alto riesgo: 0.74
2025-10-09 00:58:02 - BinanceFuturesBot - INFO - 4USDT excluido por alto riesgo: 0.96
2025-10-09 00:58:18 - BinanceFuturesBot - INFO - ETHUSDT excluido por alto riesgo: 0.75
2025-10-09 00:58:19 - BinanceFuturesBot - INFO - BTCUSDT excluido por alto riesgo: 0.70
2025-10-09 00:58:20 - BinanceFuturesBot - INFO - SOLUSDT excluido por alto riesgo: 0.85
2025-10-09 00:58:20 - BinanceFuturesBot - INFO - BNBUSDT excluido por alto riesgo: 0.88
2025-10-09 00:58:22 - BinanceFuturesBot - INFO - COAIUSDT excluido por alto riesgo: 0.95
2025-10-09 00:58:22 - BinanceFuturesBot - INFO - DOGEUSDT excluido por alto riesgo: 0.85
2025-10-09 00:58:23 - BinanceFuturesBot - INFO - ASTERUSDT excluido por alto riesgo: 0.98
2025-10-09 00:58:24 - BinanceFuturesBot - INFO - XRPUSDT excluido por alto riesgo: 0.74
2025-10-09 00:58:24 - BinanceFuturesBot - INFO - 4USDT excluido por alto riesgo: 0.96
2025-10-09 00:58:41 - BinanceFuturesBot - INFO - ETHUSDT excluido por alto riesgo: 0.75
2025-10-09 00:58:42 - BinanceFuturesBot - INFO - BTCUSDT excluido por alto riesgo: 0.70
2025-10-09 00:58:42 - BinanceFuturesBot - INFO - SOLUSDT excluido por alto riesgo: 0.83
2025-10-09 00:58:43 - BinanceFuturesBot - INFO - BNBUSDT excluido por alto riesgo: 0.87
2025-10-09 00:58:44 - BinanceFuturesBot - INFO - COAIUSDT excluido por alto riesgo: 0.94
2025-10-09 00:58:45 - BinanceFuturesBot - INFO - DOGEUSDT excluido por alto riesgo: 0.85
2025-10-09 00:58:46 - BinanceFuturesBot - INFO - ASTERUSDT excluido por alto riesgo: 0.98
2025-10-09 00:58:46 - BinanceFuturesBot - INFO - XRPUSDT excluido por alto riesgo: 0.73
2025-10-09 00:58:47 - BinanceFuturesBot - INFO - 4USDT excluido por alto riesgo: 0.95
2025-10-09 00:59:04 - BinanceFuturesBot - INFO - ETHUSDT excluido por alto riesgo: 0.75
2025-10-09 00:59:05 - BinanceFuturesBot - INFO - BTCUSDT excluido por alto riesgo: 0.70
2025-10-09 00:59:05 - BinanceFuturesBot - INFO - SOLUSDT excluido por alto riesgo: 0.82
2025-10-09 00:59:07 - BinanceFuturesBot - INFO - BNBUSDT excluido por alto riesgo: 0.87
2025-10-09 00:59:08 - BinanceFuturesBot - INFO - COAIUSDT excluido por alto riesgo: 0.94
2025-10-09 00:59:09 - BinanceFuturesBot - INFO - DOGEUSDT excluido por alto riesgo: 0.85
2025-10-09 00:59:09 - BinanceFuturesBot - INFO - ASTERUSDT excluido por alto riesgo: 0.98
2025-10-09 00:59:10 - BinanceFuturesBot - INFO - XRPUSDT excluido por alto riesgo: 0.73
2025-10-09 00:59:11 - BinanceFuturesBot - INFO - 4USDT excluido por alto riesgo: 0.95
2025-10-09 00:59:27 - BinanceFuturesBot - INFO - ETHUSDT excluido por alto riesgo: 0.74
2025-10-09 00:59:28 - BinanceFuturesBot - INFO - BTCUSDT excluido por alto riesgo: 0.69
2025-10-09 00:59:29 - BinanceFuturesBot - INFO - SOLUSDT excluido por alto riesgo: 0.82
2025-10-09 00:59:29 - BinanceFuturesBot - INFO - BNBUSDT excluido por alto riesgo: 0.87
2025-10-09 00:59:31 - BinanceFuturesBot - INFO - COAIUSDT excluido por alto riesgo: 0.93
2025-10-09 00:59:31 - BinanceFuturesBot - INFO - DOGEUSDT excluido por alto riesgo: 0.85
2025-10-09 00:59:32 - BinanceFuturesBot - INFO - ASTERUSDT excluido por alto riesgo: 0.98
2025-10-09 00:59:33 - BinanceFuturesBot - INFO - XRPUSDT excluido por alto riesgo: 0.72
2025-10-09 00:59:34 - BinanceFuturesBot - INFO - 4USDT excluido por alto riesgo: 0.95
2025-10-09 00:59:50 - BinanceFuturesBot - INFO - ETHUSDT excluido por alto riesgo: 0.74
2025-10-09 00:59:51 - BinanceFuturesBot - INFO - BTCUSDT excluido por alto riesgo: 0.69
2025-10-09 00:59:51 - BinanceFuturesBot - INFO - SOLUSDT excluido por alto riesgo: 0.82
2025-10-09 00:59:52 - BinanceFuturesBot - INFO - BNBUSDT excluido por alto riesgo: 0.86
2025-10-09 00:59:53 - BinanceFuturesBot - INFO - COAIUSDT excluido por alto riesgo: 0.93
2025-10-09 00:59:54 - BinanceFuturesBot - INFO - DOGEUSDT excluido por alto riesgo: 0.84
2025-10-09 00:59:55 - BinanceFuturesBot - INFO - ASTERUSDT excluido por alto riesgo: 0.97
2025-10-09 00:59:56 - BinanceFuturesBot - INFO - XRPUSDT excluido por alto riesgo: 0.72
2025-10-09 00:59:56 - BinanceFuturesBot - INFO - 4USDT excluido por alto riesgo: 0.94
